ticket_id,name,T1,T3,T4,T5,T51,T52,T53,T6,T61,T62
110107051043021, ,21,21,31,5.5,2,1.5,2,34.5,13,21.5
110107051043321, ,11,21,31,6.5,2.5,1.5,2.5,34.5,13,21.5
110107051043621, ,21,21,31,4.5,1.5,1.5,1.5,142,121,21
110107051043921, ,21,21,31,2,1,0,1,143,122,21
110107051050121, ,21,10,21,7,3,2,2,142,121,21
110107051050421, ,21,22,21,4.5,1.5,1.5,1.5,142,121,21
110107051050721, ,31,11,31,6,2,2,2,34.5,13,21.5
110107051051021, ,21,31,31,4.5,1.5,1.5,1.5,142,121,21
110107051051321, ,31,11,21,6,2,2,2,30,10,20
110107051051621, ,31,31,31,4.5,1.5,1.5,1.5,31,10.5,20.5
110107051051921, ,21,21,21,2.5,1,1,.5,32,11,21
110107051052221, ,31,21,31,4,1.5,1,1.5,34,13,21
110107051060121, ,21,11,21,2.5,1,1,.5,142,121,21
110107051060421, ,31,11,21,6.5,2.5,1.5,2.5,143,122,21
110107051060721, ,21,22,31,7,3,2,2,34,13,21
110107051061021, ,31,21,31,3,1,1,1,142,121,21
110107051061321, ,21,22,31,3.5,1,1,1.5,34.5,13,21.5
110107051061621, ,21,11,31,.5,0,.5,0,142,121,21
110107051061921, ,10,21,21,3.5,1,1,1.5,143,122,21
110107051062221, ,21,12,21,3.5,1.5,1,1,33,12,21
110107061020121, ,11,31,41,3.5,1,1,1.5,142,121,21
110107061020421, ,99,21,21,3.5,1,1,1.5,142,121,21
110107061020721, ,10,11,31,1.5,.5,.5,.5,142.5,121.5,21
110107061021021, ,31,31,21,5.5,2.5,1,2,30.5,10.5,20
110107061021321, ,21,21,31,4.5,2,1,1.5,143,122,21
110107061021621, ,31,11,31,0,0,0,0,34.5,13,21.5
110107061021921, ,31,31,31,3,1,1,1,142.5,121.5,21
110107061022221, ,10,10,21,4,2,1,1,142,121,21
110107061022521, ,10,11,99,297,99,99,99,198,99,99
110107061022821, ,31,31,31,4,1.5,1,1.5,142,121,21
110107061023121, ,21,11,31,4.5,2,1,1.5,31,10.5,20.5
110107061023421, ,41,21,31,4.5,1.5,1.5,1.5,143,122,21
110107061023721, ,31,21,21,5,2,1,2,142,121,21
110107061040221, ,21,22,21,3,1,1,1,143,122,21
110107061040521, ,31,21,31,3,1,1,1,30,10,20
110107061040821, ,31,31,21,4,1,2,1,142.5,121.5,21
110107061041121, ,11,21,41,4.5,2,1,1.5,141.5,121,20.5
110107061041421, ,11,11,21,4,1.5,1,1.5,143,122,21
110107061041721, ,11,11,31,3.5,1,1,1.5,30.5,10.5,20
110107061042021, ,21,11,31,4.5,1.5,1.5,1.5,142,121,21
110107061042321, ,31,31,31,5.5,2,1.5,2,30,10,20
110107061042621, ,10,10,31,3,1,1,1,142,121,21
110107061042921, ,31,11,21,4,1.5,1,1.5,32,11,21
110107061043221, ,10,21,31,0,0,0,0,30,10,20
110107061043521, ,11,99,21,297,99,99,99,30,10,20
110107061060221, ,99,99,99,297,99,99,99,198,99,99
110107061060521, ,10,11,41,297,99,99,99,143,122,21
110107061060821, ,99,11,11,297,99,99,99,143,122,21
110107061061121, ,10,11,31,4,1.5,1,1.5,30,10,20
110107061061421, ,99,99,99,297,99,99,99,198,99,99
110107061061721, ,10,21,31,297,99,99,99,198,99,99
110107061062021, ,11,99,10,297,99,99,99,198,99,99
110107061062321, ,99,11,21,0,0,0,0,30,10,20
110107061062621, ,99,99,21,4.5,2,1,1.5,32,11,21
110107061063221, ,11,21,31,3,1,1,1,142.5,121.5,21
110107061063821, ,31,31,31,4,1.5,1,1.5,142,121,21
110107061080321, ,21,31,31,3,1,1,1,198,99,99
110107061080621, ,21,12,21,0,0,0,0,30.5,10.5,20
110107061080921, ,31,22,31,6,2,2,2,143,122,21
110107061081221, ,21,11,21,3.5,1,1,1.5,142.5,121.5,21
110107061081521, ,31,11,21,4,1.5,1,1.5,143,122,21
110107061081821, ,99,21,31,297,99,99,99,198,99,99
110107061082121, ,10,11,21,1.5,.5,.5,.5,30,10,20
110107061082421, ,99,10,21,1.5,.5,.5,.5,30,10,20
110107061082721, ,10,11,21,3,1,1.5,.5,142.5,121.5,21
110107061083021, ,21,11,31,4.5,1.5,1.5,1.5,31,11,20
110107061083321, ,10,11,31,3,1,1,1,30,10,20
110107061083621, ,99,99,10,0,0,0,0,30,10,20
110107071010321, ,10,11,21,4,1.5,1,1.5,31,11,20
110107071010621, ,10,12,11,5.5,2,2,1.5,142,121,21
110107071010921, ,11,99,31,4,1.5,1,1.5,142,122,20
110107071011221, ,31,11,21,297,99,99,99,198,99,99
110107071011521, ,21,11,31,4.5,2,1,1.5,142,121,21
110107071011821, ,21,21,31,3,1,1,1,142,121,21
110107071012121, ,11,10,11,0,0,0,0,30,10,20
110107071012421, ,21,31,21,3.5,1.5,1,1,142,121,21
110107071012721, ,21,31,31,3.5,1.5,.5,1.5,32,11,21
110107071013021, ,11,10,22,297,99,99,99,30,10,20
110107071030221, ,21,10,31,3,1,1,1,34.5,13,21.5
110107071030521, ,11,21,21,4,1.5,1,1.5,31,10.5,20.5
110107071030821, ,99,11,21,297,99,99,99,198,99,99
110107071031121, ,99,10,10,0,0,0,0,143,122,21
110107071031421, ,31,12,31,1.5,.5,.5,.5,32,11,21
110107071031721, ,31,11,21,2.5,1.5,.5,.5,32,11,21
110107071032021, ,21,11,31,4.5,2,1,1.5,142,121,21
110107071032321, ,99,10,31,0,0,0,0,31.5,11,20.5
110107071032621, ,11,10,11,0,0,0,0,30,10,20
110107071032921, ,11,10,31,1,0,1,0,142,121,21
110107081010121, ,31,31,31,4.5,1.5,1.5,1.5,142,121,21
110107081010421, ,21,31,99,297,99,99,99,198,99,99
110107081010721, ,10,11,21,4.5,1,1.5,2,142.5,121.5,21
110107081011021, ,21,31,31,297,99,99,99,198,99,99
110107081011321, ,21,11,32,0,0,0,0,31.5,11,20.5
110107081011621, ,99,11,21,2.5,1,1,.5,142.5,121.5,21
110107081011921, ,21,22,21,2.5,1,.5,1,30,10,20
110107081012221, ,31,21,31,6,2,2,2,142.5,121.5,21
110107081012521, ,10,21,31,297,99,99,99,30.5,10.5,20
110107081012821, ,11,21,31,297,99,99,99,198,99,99
110107081013121, ,11,11,31,297,99,99,99,142.5,121.5,21
110107081013421, ,11,22,21,297,99,99,99,31,10.5,20.5
110107081013721, ,21,10,21,5.5,2,1.5,2,31,11,20
110107081014021, ,10,21,21,3.5,1.5,1,1,143,122,21
110107081020321, ,99,11,31,1.5,0,1,.5,142.5,121.5,21
110107081020621, ,31,11,31,2,1,.5,.5,31.5,11,20.5
110107081020921, ,31,31,31,7,2.5,2,2.5,34,13,21
110107081021221, ,21,31,31,7,2.5,2,2.5,142,121,21
110107081021521, ,31,31,31,3.5,1.5,1,1,143,122,21
110107081021821, ,11,21,31,3,1,1,1,30,10,20
110107081022121, ,10,11,21,297,99,99,99,31,11,20
110107081022421, ,11,31,21,7,3,1.5,2.5,142.5,121.5,21
110107081022721, ,21,11,21,3.5,1.5,.5,1.5,142.5,121.5,21
110107081023021, ,10,22,31,0,0,0,0,30,10,20
110107081023321, ,10,31,31,7,3,2,2,31,11,20
110107081023621, ,21,21,21,4.5,2,1,1.5,34,13,21
110107081023921, ,41,31,31,3,1,1,1,30,10,20
110107081030221, ,31,21,31,0,0,0,0,142.5,121.5,21
110107081030521, ,11,11,21,0,0,0,0,30,10,20
110107081030821, ,31,12,31,297,99,99,99,198,99,99
110107081031121, ,10,10,11,4,1.5,1.5,1,30.5,10.5,20
110107081031421, ,21,11,31,0,0,0,0,30,10,20
110107081031721, ,10,11,21,0,0,0,0,31.5,11,20.5
110107081032021, ,10,12,21,0,0,0,0,30,10,20
